date,ipca,months,years,median,mean
01/2000,0.62,1,2000,0.44,0.49465306122448977
02/2000,0.13,2,2000,0.44,0.49465306122448977
03/2000,0.22,3,2000,0.44,0.49465306122448977
04/2000,0.42,4,2000,0.44,0.49465306122448977
05/2000,0.01,5,2000,0.44,0.49465306122448977
06/2000,0.23,6,2000,0.44,0.49465306122448977
07/2000,1.61,7,2000,0.44,0.49465306122448977
08/2000,1.31,8,2000,0.44,0.49465306122448977
09/2000,0.23,9,2000,0.44,0.49465306122448977
10/2000,0.14,10,2000,0.44,0.49465306122448977
11/2000,0.32,11,2000,0.44,0.49465306122448977
12/2000,0.59,12,2000,0.44,0.49465306122448977
01/2001,0.57,1,2001,0.44,0.49465306122448977
02/2001,0.46,2,2001,0.44,0.49465306122448977
03/2001,0.38,3,2001,0.44,0.49465306122448977
04/2001,0.58,4,2001,0.44,0.49465306122448977
05/2001,0.41,5,2001,0.44,0.49465306122448977
06/2001,0.52,6,2001,0.44,0.49465306122448977
07/2001,1.33,7,2001,0.44,0.49465306122448977
08/2001,0.7,8,2001,0.44,0.49465306122448977
09/2001,0.28,9,2001,0.44,0.49465306122448977
10/2001,0.83,10,2001,0.44,0.49465306122448977
11/2001,0.71,11,2001,0.44,0.49465306122448977
12/2001,0.65,12,2001,0.44,0.49465306122448977
01/2002,0.52,1,2002,0.44,0.49465306122448977
02/2002,0.36,2,2002,0.44,0.49465306122448977
03/2002,0.6,3,2002,0.44,0.49465306122448977
04/2002,0.8,4,2002,0.44,0.49465306122448977
05/2002,0.21,5,2002,0.44,0.49465306122448977
06/2002,0.42,6,2002,0.44,0.49465306122448977
07/2002,1.19,7,2002,0.44,0.49465306122448977
08/2002,0.65,8,2002,0.44,0.49465306122448977
09/2002,0.72,9,2002,0.44,0.49465306122448977
10/2002,1.31,10,2002,0.44,0.49465306122448977
11/2002,3.02,11,2002,0.44,0.49465306122448977
12/2002,2.1,12,2002,0.44,0.49465306122448977
01/2003,2.25,1,2003,0.44,0.49465306122448977
02/2003,1.57,2,2003,0.44,0.49465306122448977
03/2003,1.23,3,2003,0.44,0.49465306122448977
04/2003,0.97,4,2003,0.44,0.49465306122448977
05/2003,0.61,5,2003,0.44,0.49465306122448977
06/2003,-0.15,6,2003,0.44,0.49465306122448977
07/2003,0.2,7,2003,0.44,0.49465306122448977
08/2003,0.34,8,2003,0.44,0.49465306122448977
09/2003,0.78,9,2003,0.44,0.49465306122448977
10/2003,0.29,10,2003,0.44,0.49465306122448977
11/2003,0.34,11,2003,0.44,0.49465306122448977
12/2003,0.52,12,2003,0.44,0.49465306122448977
01/2004,0.76,1,2004,0.44,0.49465306122448977
02/2004,0.61,2,2004,0.44,0.49465306122448977
03/2004,0.47,3,2004,0.44,0.49465306122448977
04/2004,0.37,4,2004,0.44,0.49465306122448977
05/2004,0.51,5,2004,0.44,0.49465306122448977
06/2004,0.71,6,2004,0.44,0.49465306122448977
07/2004,0.91,7,2004,0.44,0.49465306122448977
08/2004,0.69,8,2004,0.44,0.49465306122448977
09/2004,0.33,9,2004,0.44,0.49465306122448977
10/2004,0.44,10,2004,0.44,0.49465306122448977
11/2004,0.69,11,2004,0.44,0.49465306122448977
12/2004,0.86,12,2004,0.44,0.49465306122448977
01/2005,0.58,1,2005,0.44,0.49465306122448977
02/2005,0.59,2,2005,0.44,0.49465306122448977
03/2005,0.61,3,2005,0.44,0.49465306122448977
04/2005,0.87,4,2005,0.44,0.49465306122448977
05/2005,0.49,5,2005,0.44,0.49465306122448977
06/2005,-0.02,6,2005,0.44,0.49465306122448977
07/2005,0.25,7,2005,0.44,0.49465306122448977
08/2005,0.17,8,2005,0.44,0.49465306122448977
09/2005,0.35,9,2005,0.44,0.49465306122448977
10/2005,0.75,10,2005,0.44,0.49465306122448977
11/2005,0.55,11,2005,0.44,0.49465306122448977
12/2005,0.36,12,2005,0.44,0.49465306122448977
01/2006,0.59,1,2006,0.44,0.49465306122448977
02/2006,0.41,2,2006,0.44,0.49465306122448977
03/2006,0.43,3,2006,0.44,0.49465306122448977
04/2006,0.21,4,2006,0.44,0.49465306122448977
05/2006,0.1,5,2006,0.44,0.49465306122448977
06/2006,-0.21,6,2006,0.44,0.49465306122448977
07/2006,0.19,7,2006,0.44,0.49465306122448977
08/2006,0.05,8,2006,0.44,0.49465306122448977
09/2006,0.21,9,2006,0.44,0.49465306122448977
10/2006,0.33,10,2006,0.44,0.49465306122448977
11/2006,0.31,11,2006,0.44,0.49465306122448977
12/2006,0.48,12,2006,0.44,0.49465306122448977
01/2007,0.44,1,2007,0.44,0.49465306122448977
02/2007,0.44,2,2007,0.44,0.49465306122448977
03/2007,0.37,3,2007,0.44,0.49465306122448977
04/2007,0.25,4,2007,0.44,0.49465306122448977
05/2007,0.28,5,2007,0.44,0.49465306122448977
06/2007,0.28,6,2007,0.44,0.49465306122448977
07/2007,0.24,7,2007,0.44,0.49465306122448977
08/2007,0.47,8,2007,0.44,0.49465306122448977
09/2007,0.18,9,2007,0.44,0.49465306122448977
10/2007,0.3,10,2007,0.44,0.49465306122448977
11/2007,0.38,11,2007,0.44,0.49465306122448977
12/2007,0.74,12,2007,0.44,0.49465306122448977
