id,name,lat,lng,neighborhood,city,state,country,address,formattedAddress,postalCode,distance_from_search,categories,verified
4e0f8aaa22711665f61fb277,Complexo Poliesportivo Alcântara Machado,-23.55312216121474,-46.614587660930844,nan,São Paulo,SP,Brasil,"Av. Alcântara Machado, 948-1074","['Av. Alcântara Machado, 948-1074', 'São Paulo, SP', '03102-001', 'Brasil']",03102-001,957,Football Stadium,False
4bc22839f8219c743865b410,Parque da Independência,-23.58444846816803,-46.609788381680474,nan,São Paulo,SP,Brasil,"Av. Nazaré, S/N","['Av. Nazaré, S/N (R. dos Patriotas)', 'São Paulo, SP', '04263-000', 'Brasil']",04263-000,3142,Park,False
4b12c1aaf964a520808d23e3,Parque da Aclimação,-23.57342225619624,-46.62926624463637,nan,São Paulo,SP,Brasil,"R. Muniz de Sousa, 1119","['R. Muniz de Sousa, 1119', 'São Paulo, SP', '01534-001', 'Brasil']",01534-001,3040,Park,False
4e2c66bed164223a698be2d2,Pista De Skate,-23.581813196643832,-46.610047408502034,nan,São Paulo,SP,Brasil,Parque da Independência,"['Parque da Independência', 'São Paulo, SP', 'Brasil']",nan,2855,Skate Park,False
4eecb0f6b634f75442580fa6,Quintal do Ipiranga,-23.583221110218457,-46.60995321677472,nan,São Paulo,SP,Brasil,Praça do Monumento,"['Praça do Monumento (Rua dos Patriotas)', 'São Paulo, SP', '04263-000', 'Brasil']",04263-000,3009,Skate Park,False
5675ac81498e4101013e5ae4,manifesto skate park,-23.58531056316178,-46.60081898940046,nan,nan,nan,Brasil,Rua Oliveira Alves 782,"['Rua Oliveira Alves 782', 'Brasil']",nan,3255,Skate Park,False
4b1aa247f964a520f8ed23e3,Galeria do Rock,-23.544060064650942,-46.638892578507956,nan,São Paulo,SP,Brasil,"Av. S. João, 439","['Av. S. João, 439 (R. Vinte e Quatro de Maio)', 'São Paulo, SP', '01035-000', 'Brasil']",01035-000,3634,Shopping Mall,False
4beaac47f90e9c74b06fe3ed,Museu Paulista,-23.58558126345671,-46.60975456237793,nan,São Paulo,SP,Brasil,"Pq. da Independência, s/n","['Pq. da Independência, s/n (Av. Nazaré)', 'São Paulo, SP', '04263-000', 'Brasil']",04263-000,3267,History Museum,False
517063fae4b0913f7f143215,Ladeira do Museu,-23.580583215836384,-46.61008979483742,nan,nan,nan,Brasil,nan,['Brasil'],nan,2720,Park,False
4bd49ac4cfa7b713e57124da,Praça Franklin Roosevelt,-23.548628870023627,-46.64675805476223,nan,São Paulo,SP,Brasil,Pç. Franklin Roosevelt,"['Pç. Franklin Roosevelt (R. Augusta)', 'São Paulo, SP', '01303-030', 'Brasil']",01303-030,4255,Plaza,False
4d8f5974ca75b60cb72e12a9,Parque do Belém,-23.536829831241832,-46.5895554861173,nan,São Paulo,SP,Brasil,"Av. Celso Garcia, 2231","['Av. Celso Garcia, 2231', 'São Paulo, SP', 'Brasil']",nan,2749,Park,False
4e65067662e13e3bcfbd9bc2,Mission Store,-23.543416431431584,-46.63859699823544,nan,São Paulo,SP,Brasil,Galeria do Rock,"['Galeria do Rock (Piso Térreo, Loja 126)', 'São Paulo, SP', '01035-000', 'Brasil']",01035-000,3635,Board Shop,True
4b699a88f964a52043a92be3,Galeria Olido,-23.543287800842645,-46.639050483512285,nan,São Paulo,SP,Brasil,"Av. S. João, 473","['Av. S. João, 473 (Lrg. do Paissandu)', 'São Paulo, SP', '01035-904', 'Brasil']",01035-904,3683,Cultural Center,False
5233237411d2f2ca9747afbd,QIX Skate Shop,-23.54342696736672,-46.63859443139038,nan,São Paulo,SP,Brasil,Galeria do Rock,"['Galeria do Rock (Piso Térreo, Loja 118)', 'São Paulo, SP', '01035-000', 'Brasil']",01035-000,3634,Shoe Store,False
4f0a1233e4b0ca3a5df3b1ad,Bowlhouse Skateboards,-23.587303036188306,-46.648140110010054,nan,São Paulo,SP,Brasil,Avenida Conselheiro Rodrigues Alves,"['Avenida Conselheiro Rodrigues Alves (Rua Morgado de Matheus)', 'São Paulo, SP', '04015-051', 'Brasil']",04015-051,5509,Skate Park,False
