,url,address,title,area,rooms,bathrooms,garages,price,date
0,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-108m2-venda-RS395000-id-2501201592/?__vt=lnv:c,"Rua da Concórdia - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 108m²",108,3,2,1,395000,2020-11-14 
2,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-119m2-venda-RS930000-id-2500279102/?__vt=lnv:c,"Rua São Pedro, 0 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 119m²",119,3,4,2,930000,2020-11-14 
3,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-93m2-venda-RS460000-id-2501481932/?__vt=lnv:c,"Rua Coronel Pedro Demoro, 1875 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 93m²",93,3,3,1,460000,2020-11-14 
4,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-123m2-venda-RS540000-id-2462386901/?__vt=lnv:c,"Rua Professor João José Cabral - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 123m²",123,3,3,1,540000,2020-11-14 
5,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-84m2-venda-RS447000-id-2496306744/?__vt=lnv:c,"Rua da Concórdia, 76 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 84m²",84,3,1,1,447000,2020-11-14 
6,vivareal.com/imovel/apartamento-2-quartos-balneario-bairros-florianopolis-com-garagem-78m2-venda-RS660000-id-2489676570/?__vt=lnv:c,"Rua Sérgio Gil - Balneário, Florianópolis - SC","Apartamento com 2 Quartos à Venda, 78m²",78,2,2,1,660000,2020-11-14 
7,vivareal.com/imovel/apartamento-2-quartos-balneario-bairros-florianopolis-com-garagem-77m2-venda-RS395000-id-2498361527/?__vt=lnv:c,"Rua Sérgio Gil, 204 - Balneário, Florianópolis - SC","Apartamento com 2 Quartos à Venda, 77m²",77,2,1,1,395000,2020-11-14 
9,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-89m2-venda-RS583000-id-2496502679/?__vt=lnv:c,"Avenida Santa Catarina - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 89m²",89,3,2,2,583000,2020-11-14 
10,vivareal.com/imovel/apartamento-4-quartos-balneario-bairros-florianopolis-com-garagem-123m2-venda-RS790000-id-2492388596/?__vt=lnv:c,"Rua Osvaldo Cruz, 345 - Balneário, Florianópolis - SC","Apartamento com 4 Quartos à Venda, 123m²",123,4,2,2,790000,2020-11-14 
11,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-88m2-venda-RS585000-id-2495888334/?__vt=lnv:c,"Avenida Santa Catarina, 1443 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 88m²",88,3,2,2,585000,2020-11-14 
12,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-109m2-venda-RS650000-id-2491775873/?__vt=lnv:c,"Rua São Pedro, 397 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 109m²",109,3,3,1,650000,2020-11-14 
13,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-91m2-venda-RS855651-id-2497765294/?__vt=lnv:c,"Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 91m²",91,3,2,1,855651,2020-11-14 
14,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-119m2-venda-RS950000-id-2496951418/?__vt=lnv:c,"Avenida Santa Catarina, 0 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 119m²",119,3,3,2,950000,2020-11-14 
16,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-109m2-venda-RS395000-id-2491609978/?__vt=lnv:c,"Rua da Concórdia, 109 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 109m²",109,3,2,1,395000,2020-11-14 
17,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-124m2-venda-RS950000-id-2492822202/?__vt=lnv:c,"Rua Sérgio Gil - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 124m²",124,3,3,2,950000,2020-11-14 
